name,href,price,Subcategory,SubSubCategory,request_avg_time
Scala Basin Mixer Tap with 90mm Outlet   Chrome (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/scala-basin-mixer-tap-with-90mm-outlet-chrome-6-2262940,51,Basin Tapware,Basin Mixers,1.681137204170227
Milli Glance Basin Mixer Tap Black (6    Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-glance-basin-mixer-tap-black-6-star-2263091,22,Basin Tapware,Basin Mixers,1.681137204170227
Milli Voir Gooseneck Basin Mixer Tap     Chrome (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-voir-gooseneck-basin-mixer-tap-chrome-4-2265265,96,Basin Tapware,Basin Mixers,1.681137204170227
Milli Voir Gooseneck Basin Mixer Tap     Porcelain Chrome (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-voir-gooseneck-basin-mixer-tap-porcelain-2265266,94,Basin Tapware,Basin Mixers,1.681137204170227
Milli Voir English Basin Mixer Tap       Chrome (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-voir-english-basin-mixer-tap-chrome-4-2265267,17,Basin Tapware,Basin Mixers,1.681137204170227
Milli Voir English Basin Mixer Tap       Porcelain Chrome (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-voir-english-basin-mixer-tap-porcelain-2265268,71,Basin Tapware,Basin Mixers,1.681137204170227
Milli Voir English Basin Mixer Tap       Porcelain Brass Gold (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-voir-english-basin-mixer-tap-porcelain-2265329,7,Basin Tapware,Basin Mixers,1.681137204170227
Milli Voir English Basin Mixer Tap       Matte Black (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-voir-english-basin-mixer-tap-matte-2265389,88,Basin Tapware,Basin Mixers,1.681137204170227
Milli Voir Gooseneck Basin Mixer Tap     Brushed Gunmetal (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-voir-gooseneck-basin-mixer-tap-brushed-2265509,79,Basin Tapware,Basin Mixers,1.681137204170227
Milli Voir English Basin Mixer Tap       Brushed Gunmetal (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-voir-english-basin-mixer-tap-brushed-2265511,73,Basin Tapware,Basin Mixers,1.681137204170227
Milli Oria Basin Mixer Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-oria-basin-mixer-chrome-5-star-2265611,0,Basin Tapware,Basin Mixers,1.681137204170227
Milli Oria Basin Mixer PVD Brushed       Nickel (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-oria-basin-mixer-pvd-brushed-nickel-5-2265613,25,Basin Tapware,Basin Mixers,1.681137204170227
Milli Trace Basin Mixer Brushed Nickel   (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-trace-basin-mixer-brushed-nickel-5-star-2266008,61,Basin Tapware,Basin Mixers,1.681137204170227
